categoria,portugues,ingles
PROCURAÇÃO / POWER-OF-ATTORNEY,por meio deste; pelo presente ato,thereby
PROCURAÇÃO / POWER-OF-ATTORNEY,deste instrumento; do presente,"thereof; ""of this document"""
PROCURAÇÃO / POWER-OF-ATTORNEY,do mesmo; daquilo,thereof
PROCURAÇÃO / POWER-OF-ATTORNEY,saibam quantos este público instrumento virem,know all by these presents; to all to whom this instrument may come
PROCURAÇÃO / POWER-OF-ATTORNEY,poderes gerais e ilimitados,broad and unlimited powers
PROCURAÇÃO / POWER-OF-ATTORNEY,nomeia e constitui,appoints and constitutes
PROCURAÇÃO / POWER-OF-ATTORNEY,receber e dar quitação,to receive and give full release
PROCURAÇÃO / POWER-OF-ATTORNEY,para o fiel cumprimento deste mandato de procurador,to fully perform this power of attorney
PROCURAÇÃO / POWER-OF-ATTORNEY,dou fé,witness my hand; I attest to
PROCURAÇÃO / POWER-OF-ATTORNEY,subscrevo e assino em público e raso com sinal que uso,I do hereunto set my hand in my official capacity
PROCURAÇÃO / POWER-OF-ATTORNEY,"sendo-lhe lido em voz alta, outorga, aceita e assina","having been read aloud, [Grantor] grants, accepts and executes"
PROCURAÇÃO / POWER-OF-ATTORNEY,lavrar [um instrumento],draft [an instrument]
PROCURAÇÃO / POWER-OF-ATTORNEY,estando justas e contratadas,in witness whereof
PROCURAÇÃO / POWER-OF-ATTORNEY,adquirir ou alienar imóveis,acquire or dispose of real estate property
PROCURAÇÃO / POWER-OF-ATTORNEY,"receber e transmitir domínio, direito, ação e posse","receive and transfer right, title and interest"
PROCURAÇÃO / POWER-OF-ATTORNEY,assinar todo e qualquer documento que se fizer necessário,execute any and all documents deemed necessary
PROCURAÇÃO / POWER-OF-ATTORNEY,representar o Outorgante perante as repartições públicas competentes em geral,represent Grantor before any competent government instrumentalities in general
PROCURAÇÃO / POWER-OF-ATTORNEY,autarquia,government agency
PROCURAÇÃO / POWER-OF-ATTORNEY,Receita Federal do Brasil,Brazilian Taxation Office; Brazilian Federal Revenue Service
PROCURAÇÃO / POWER-OF-ATTORNEY,Sefaz (Secretaria da Fazenda),state treasury department
PROCURAÇÃO / POWER-OF-ATTORNEY,cartório; ofício de notas,notary public office; notary office; office of the registry of notes
PROCURAÇÃO / POWER-OF-ATTORNEY,cartório de registro de imóveis,real estate registry office
PROCURAÇÃO / POWER-OF-ATTORNEY,por este público instrumento e nos melhores termos de direito,by means of this public instrument and in the best form of law
PROCURAÇÃO / POWER-OF-ATTORNEY,RG; cédula de identidade,Brazilian national ID
PROCURAÇÃO / POWER-OF-ATTORNEY,CPF,individual taxpayer registration
PROCURAÇÃO / POWER-OF-ATTORNEY,CNPJ,corporate taxpayer registration
PROCURAÇÃO / POWER-OF-ATTORNEY,procurador,attorney-in-fact
PROCURAÇÃO / POWER-OF-ATTORNEY,outorgante [de uma procuração],grantor [of a power-of-attorney]
